645.63714	5363.05
597.0232	4867.38
347.52468	3381.81
332.84378	3165.54
254.75028	2677
217.60525	2456.23
178.67351	2145.38
164.02486	2014.22
137.89482	1807.98
117.04929	1636.8
78.02691	1280.27
67.79238	1165.88
86.64865	1498.74
73.1225	1377.6
33.43874	775.23
27.79185	712.93
13.57957	489.45
12.00131	468
8.56703	396.92
7.06195	355.45
5.43251	317.17
5.50982	325.09
4.33768	295.05
1.79567	205
1.57211	191.88
0.98326	162.28
0.76005	148.9
0.55148	130.05
0.41638	122.09
0.3355	109.6
0.25123	99.21
0.11136	77.6
0.08688	70.67
0.13258	90.86
0.10607	83.5
0.0371	47
0.02951	43.21
0.01237	29.66
0.01047	28.38
0.00806	24.06
0.0039	19.23
0.0051	11.06
0.006	10.04
0.00769	6.97
0.00811	6.54
0.00885	5.52
0.00881	5.07
0.0091	4.42
0.00985	4.16
6.06004E-4	3.73
0.01597	3.38
0.01048	2.65
0.01062	2.4
0.00109	3.1
0.00888	2.83
0.00976	1.59
0.01086	1.47
0.01039	1.02
0.00571	0.96
0.00773	0.81
0.00976	0.65
